,TotalCharges,tenure,MonthlyCharges,MultipleLines_No phone service,SeniorCitizen,Contract_One year,PaymentMethod_Credit card (automatic),InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Mailed check,Contract_Two year,Churn,OnlineSecurity_Yes,TechSupport_Yes
0,29.85,1,29.85,1,0,0,0,0,0,0,0,0,0,0
1,1889.5,34,56.95,0,0,1,0,0,0,1,0,0,1,0
2,108.15,2,53.85,0,0,0,0,0,0,1,0,1,1,0
3,1840.75,45,42.3,1,0,1,0,0,1,0,0,0,1,1
4,151.65,2,70.7,0,0,0,0,0,0,0,0,1,0,0
5,820.5,8,99.65,0,0,0,0,0,0,0,0,1,0,0
6,1949.4,22,89.1,0,0,0,1,0,0,0,0,0,0,0
7,301.9,10,29.75,1,0,0,0,0,0,1,0,0,1,0
8,3046.05,28,104.8,0,0,0,0,0,0,0,0,1,0,1
9,3487.95,62,56.15,0,0,1,0,0,1,0,0,0,1,0
10,587.45,13,49.95,0,0,0,0,0,0,1,0,0,1,0
11,326.8,16,18.95,0,0,0,1,1,0,0,1,0,0,0
12,5681.1,58,100.35,0,0,1,1,0,0,0,0,0,0,0
13,5036.3,49,103.7,0,0,0,0,0,1,0,0,1,0,0
14,2686.05,25,105.5,0,0,0,0,0,0,0,0,0,1,1
15,7895.15,69,113.25,0,0,0,1,0,0,0,1,0,1,1
16,1022.95,52,20.65,0,0,1,0,1,0,1,0,0,0,0
17,7382.25,71,106.7,0,0,0,0,0,1,0,1,0,1,0
18,528.35,10,55.2,0,0,0,1,0,0,0,0,1,0,1
19,1862.9,21,90.05,0,0,0,0,0,0,0,0,0,0,0
20,39.65,1,39.65,1,1,0,0,0,0,0,0,1,0,0
21,202.25,12,19.8,0,0,1,0,1,1,0,0,0,0,0
22,20.15,1,20.15,0,0,0,0,1,0,1,0,1,0,0
23,3505.1,58,59.9,0,0,0,1,0,0,0,1,0,0,1
24,2970.3,49,59.6,0,0,0,1,0,0,0,0,0,1,1
25,1530.6,30,55.3,0,0,0,0,0,1,0,0,0,1,0
26,4749.15,47,99.35,0,0,0,0,0,0,0,0,1,0,0
27,30.2,1,30.2,1,0,0,0,0,0,0,0,1,0,0
28,6369.45,72,90.25,0,0,0,1,0,0,0,1,0,1,1
29,1093.1,17,64.7,0,0,0,0,0,0,1,0,1,0,0
30,6766.95,71,96.35,0,1,0,1,0,0,0,1,0,1,1
31,181.65,2,95.5,0,1,0,1,0,0,0,0,0,0,0
32,1874.45,27,66.15,0,0,1,0,0,0,1,0,0,1,1
33,20.2,1,20.2,0,0,0,0,1,1,0,0,0,0,0
34,45.25,1,45.25,0,1,0,0,0,1,0,0,0,0,0
35,7251.7,72,99.9,0,0,0,0,0,1,0,1,0,1,1
36,316.9,5,69.7,0,0,0,0,0,0,0,0,1,0,0
37,3548.3,46,74.8,0,0,0,1,0,0,0,0,0,0,0
38,3549.25,34,106.35,0,0,0,0,0,0,0,0,1,0,0
39,1105.4,11,97.85,0,0,0,0,0,1,0,0,1,0,0
40,475.7,10,49.55,0,0,1,0,0,0,1,0,0,0,0
41,4872.35,70,69.2,0,0,0,1,0,0,0,1,0,1,0
42,418.25,17,20.75,0,0,1,0,1,0,1,0,0,0,0
43,4861.45,63,79.85,0,0,0,1,0,0,0,1,0,1,1
44,981.45,13,76.2,0,0,0,0,0,0,0,0,0,1,1
45,3906.7,49,84.5,0,0,0,0,0,0,0,0,0,0,0
46,97.0,2,49.25,0,0,0,0,0,0,1,0,0,0,0
47,144.15,2,80.65,0,0,0,0,0,0,0,0,1,0,0
48,4217.8,52,79.75,0,0,0,1,0,0,0,1,0,1,1
49,4254.1,69,64.15,0,0,0,1,0,0,0,1,0,1,1
50,3838.75,43,90.25,0,1,0,0,0,0,0,0,0,0,0
51,1426.4,15,99.1,0,0,0,1,0,0,0,0,1,1,0
52,1752.65,25,69.5,0,1,0,1,0,0,0,0,0,1,1
53,633.3,8,80.65,0,1,0,1,0,0,0,0,1,0,0
54,4456.35,60,74.85,0,1,1,1,0,0,0,0,0,1,1
55,1752.55,18,95.45,0,1,0,0,0,0,0,0,1,0,0
56,6311.2,63,99.65,0,0,1,1,0,0,0,0,0,1,0
57,7076.35,66,108.45,0,1,1,0,0,0,0,0,0,0,1
58,894.3,34,24.95,0,0,0,1,1,0,0,1,0,0,0
59,7853.7,72,107.5,0,0,0,1,0,0,0,1,0,0,1
60,4707.1,47,100.5,0,0,0,0,0,0,0,0,0,0,0
61,5450.7,60,89.9,0,0,0,0,0,1,0,0,0,0,0
62,2962.0,72,42.1,1,0,0,0,0,1,0,1,0,1,0
63,957.1,18,54.4,0,0,1,1,0,0,0,0,0,0,1
64,857.25,9,94.4,0,0,0,0,0,0,0,0,1,0,0
65,244.1,3,75.3,0,0,0,0,0,0,0,0,0,0,1
66,3650.35,47,78.9,0,0,1,0,0,0,0,0,0,0,0
67,2497.2,31,79.2,0,0,0,0,0,0,1,1,0,0,1
68,930.9,50,20.15,0,0,0,0,1,1,0,1,0,0,0
69,887.35,10,79.85,0,0,0,0,0,0,1,0,0,1,0
70,49.05,1,49.05,0,0,0,0,0,0,1,0,0,0,1
71,1090.65,52,20.4,0,0,1,0,1,0,0,0,0,0,0
72,7099.0,64,111.6,0,1,0,0,0,1,0,1,0,1,1
73,1424.6,62,24.25,0,0,0,0,1,1,0,1,0,0,0
74,177.4,3,64.5,0,0,0,0,0,1,0,0,0,1,1
75,6139.5,56,110.5,0,1,1,0,0,0,0,0,0,1,0
76,2688.85,46,55.65,0,0,1,1,0,0,0,0,0,0,0
77,482.25,8,54.65,0,0,0,0,0,0,1,0,0,1,0
78,2111.3,30,74.75,0,1,0,0,0,0,0,0,0,1,0
79,1216.6,45,25.9,0,0,1,1,1,0,0,0,0,0,0
80,79.35,1,79.35,0,0,0,0,0,0,0,0,1,0,0
81,565.35,11,50.55,1,0,0,0,0,0,0,0,0,1,0
82,496.9,7,75.15,0,0,0,0,0,1,0,0,1,0,0
83,4327.5,42,103.8,0,0,0,0,0,1,0,0,0,0,1
84,973.35,49,20.15,0,0,0,0,1,1,0,1,0,0,0
